Classify,Description
Java,岗位职责：1.分析各应用组件反馈的公共需求，根据业务和生产的实际情况抽取公共部分，形成完整业务模块，细化分析需求。2.负责公共方案的设计，关注通用性、可扩展性。3.牵头完成公共模块的开发工作，确保在应用项目中正确实施。任职要求：1、三年及以上Java开发经验，有扎实的计算机基础知识和编程功底，对代码质量有追求，有良好的系统设计和理解能力2、有丰富的产品设计经验，了解设计模式，能够沟通分析应用需求，设计实施方案。3、熟练掌握和使用Spring、Spring MVC、Spring Boot、Spring Cloud和MyBatis等框架4、熟悉数据库设计，掌握MySQL、oracle、Redis等数据存储的使用5、熟悉JVM运行机制，了解常见的JVM参数含义及调优6、熟悉主流应用服务器，如tomcat、weblogic7、了解简单前端开发8、了解银行业务并做过相关项目者优先9、责任感强，沟通和学习能力强，有良好的团队合作精神和承压能力。
Java,"位职责1.从事Java、JavaScript应用软件开发。2.根据产品功能需求设计，完成软件开发。3.参与需求评审、系统分析、系统设计，系统开发，独立完成编码，单元测试。4. 跟进Java的新技术发展, 编写设计开发及实现文档。5.完成上级领导临时交办的各项任务。任职要求:1.计算机相关专业、本科及以上，3年以上工作经验；2.Java基础扎实，理解JVM原理，有多线程编程经验；3.熟悉MySQL等关系数据库，以及相应的SQL优化;4.具有Redis、Elasticsearch、mogoDB等NoSQL数据库使用开发经验者优先；5.熟练使用主流开源框架，如：SpringMVC、Springclound、SpringSecurity；6.熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现。"
Java,岗位职责：1. 负责海量用户、高并发、分布式系统的设计和开发2. 参与系统的需求分析，撰写技术文档3. 参与基础服务、中间件的开发4. 发现并解决系统存在的问题岗位要求：1、本科及以上学历，3-5年Java服务器工作经验;2、编程基础扎实，具备良好的代码编写习惯和结构组织能力；3、精通Java语言，深刻理解面向对象思想，熟悉常用项目构建工具，具备大规模高并发访问的Web应用开发经验；4、熟悉常用数据库(MySQL等)的原理和使用，对SQL优化有丰富的经验；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；6、掌握Linux 操作系统，熟悉shell的使用。【玩吧】是一款娱乐社交APP，《快乐大本营》和《暴走大事件》官方推荐，冠名《PandaKill》，引领狼人杀现象级风潮，AppStore社交排行榜****5！公司策略稳健、行动迅速，我们需要你的才华，也懂得回报你的付出。
Java,职责描述：1、后台相关业务的系统设计开发；2、项目的需求分析、概要设计、详细设计，技术文档的编写；3、开发框架的搭建、改进；任职要求：1、本科及以上学历，扎实的计算机专业基本功，强大的写码能力；2、熟练掌握 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先；3、了解 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握Spring、myBatis 等框架，具备海量服务、分布式系统架构设计能力，熟悉常见Redis、Kafka、ES等开源系统；4、熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制；5、熟练linux常用命令使用，以及脚本编写，能够运用python完成数据脚本编写；6、拥有和工作年限相称的广度和（或）深度，有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；7、高度的创业心和投入度，既能搞定牛逼的技术难题，同时又热切地关注业务，用技术力贡献于业务成功
Java,岗位职责：偏架构方向，招聘后端基础服务的重构与设计，新技术方向的调研与实现。能力要求：人靠谱，有责任心和团队协作精神技术全面，且对技术有热情；对技术能力有中长期的规划有代码洁癖，有产品意识技术要求：Java基础扎实，精通多线程、并发、集合、网络、io等基础知识，熟悉JVM熟悉MySQL，有数据库设计的经验思维清晰，头脑灵活，能独立分析并解决复杂的线上问题技术栈：Spring，MySQL，Mybatis，Redis，Kafka，Dubbo等必须要有互联网或者其他大型商业系统（高并发）的研发经验
Java,"职位描述1、负责高性能广告交易平台的设计、研发及持续优化；2、负责广告营销平台后端、结算系统和DMP系统开发及持续优化；3、对现有系统的不足进行分析，找到目前系统的瓶颈,改进提高系统性能；4、参与解决海量商业数据分布式处理、高效查询、数据一致性、准确性等方面带来的各种技术难题和挑战。任职要求1、计算机或相关专业本科以上学历，具备1年以上的大型Web应用开发和架构经验；2、熟悉Linux开发环境，熟练使用Java和面向对象设计开发；3、熟悉主流Web应用相关的框架，对至少两个主流框架有深入理解；4、对设计模式、软件工程等有较深入的理解；5、有创业者基因：你渴望一个能够共同成长的团队，而不是找一份养家糊口的工作；6、有开发高品质产品、编写高质量代码的自我要求。加分项：1、熟悉大型分布式、高并发、高可用性系统设计开发；2、有过大规模（千万级在线用户以上）AdExchange，DSP系统开发经验的优先。"
Java,"职责描述：1.分析产品需求，根据规范进行系统设计并对产品进行快速迭代开发;2.参与公司整体技术架构设计、实现和性能优化;3.根据开发规范编写各种开发文档及项目文档;4.根据使用需要进行技术调研，解决各种技术问题。任职要求：1.统招本科以上（985/211），计算机相关专业；2.Java基础扎实, 熟悉多线程、网络编程, 并对JVM原理有一定的了解;3.熟练使用主流开源框架SSH, SpringMVC, MyBatis, SpringCloud等;4.熟悉Mysql数据库，并有NoSQL（MongoDB, HBase等）使用经验;5.熟悉Tomcat,WebLogic,Jboss和Nginx等应用服务器软件,及Redis, Kafka, RabbitMQ等中间件;6.熟练使用Git, Subversion和Maven,了解JIRA, Confluence等工具链;7.熟悉Linux环境开发，熟悉常用SHELL命令;8.具有较强的解决技术问题的能力。"
Java,"1.根据系统需求，分析、设计与实现系统软硬件整体架构，保障系统架构的合理性、可扩展性及经济性；2.参与底层和重要模块的详细设计，控制质量；负责核心技术问题的攻关，系统优化；指导解决项目开发过程中的技术难题；带领开发团队持续改进系统架构、功能模块、开发需求、提高用户体验；控制架构质量；3.指导和培养开发团队能力，负责系统开发过程的技术评审工作，检查工程师的代码开发工作，不偏离最初的设计；4.制定相关技术开发规范，参与制定技术标准，编写相应的技术文档，并对通用技术进行整理，提高技术复用；5.能制定合理的开发工作计划，并有效地按照计划完成工作。任职要求1.计算机等相关专业统招本科及以上学历，3年以上大型互联网公司经验；2.熟悉多线程及网络编程；熟悉大容量、高并发服务器的设计及优化技术；3.精通Java语言，了解Java主流工具及高并发高性能开源工具（netty、disruptor、logback、log4j2、guava、Apache Commons Pool等），并熟悉至少一种其它开发语言；4.熟悉主流开源框架，如Spring、SpringMVC、MyBatis、Activity等；熟悉Spring原理；对开源框架dubbo,zookeeper有实际应用经验；5.熟悉缓存技术（如Redis、memcache），在生产环境中使用过至少一种noSql产品；6.熟悉MySQL的使用，有SQL优化经验；7.熟悉MQ原理和使用（RabbitMQ、ActiveMQ、Kafka等）；8.自学能力强，有责任心，上进心。"
Java,"1.资金方对接开发、联调；2.支付路由通道接入，路由策略设计、实现；3.按照阿里规约进行代码优化；4.通过设计模式、算法重构现有系统逻辑；5.系统整体补偿逻辑实现；6.新技术调研、分享，并应用于现有系统；7.线上问题跟进、解决。任职资格：1.计算机等相关专业统招本科及以上学历，3年以上大型互联网公司经验；2.熟悉多线程及网络编程；熟悉大容量、高并发服务器的设计及优化技术；3.精通Java语言，了解Java主流工具及高并发高性能开源工具（netty、disruptor、logback、log4j2、guava、Apache Commons Pool等），并熟悉至少一种其它开发语言；4.熟悉主流开源框架，如Spring、SpringMVC、MyBatis、Activity等；熟悉Spring原理；对开源框架dubbo,zookeeper有实际应用经验；5.熟悉缓存技术（如Redis、memcache），在生产环境中使用过至少一种noSql产品；6.熟悉MySQL的使用，有SQL优化经验；7.熟悉MQ原理和使用（RabbitMQ、ActiveMQ、Kafka等）；8.自学能力强，有责任心，上进心。"
Java,职位描述：1. 负责京东到家产品的基本业务逻辑开发2. 负责APP后台相关等系统开发3. 负责系统高并发场景的优化职位要求：1. Java 相关工作扎实的计算机专业基本功，强大的写码能力2. 了解 Java 及非精算面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先3. 熟悉常见设计模式，精通 Spring 框架、熟练使用至少一种 ORM 框架如 Hibernate、MyBatis4. 精通 MySQL 应用开发，熟悉数据库原理和常用性能优化技术，以及 NoSQL，Queue 的原理、使用场景以及限制5. 研究过 Http 协议、缓存、Jvm 调优、RPC 调用框架等，并且有相关实践经验6. 有较强的逻辑/概率思维能力，善于分析、归纳、解决问题
